kolsch,ipa,frequency
aankomen,aːnkɔmɛn,1
ahrhütte,ahʁhʏttə,1
all,all,1
als,als,4
am,am,1
an,an,3
ander,andɐ,1
avjeläjen,avjɛlɛjɛn,1
ävver,ɛvvɐ,5
bonner,bɔnnɐ,1
bröh,bʁœh,1
bronne,bʁɔnnə,1
brunne,bʁʊnnə,4
da,da,5
dä,dɛ,4
däm,dɛm,5
dann,dann,4
dat,dat,13
de,də,2
denne,dɛnnə,1
der,dɐ,1
derek,dɛʁɛk,1
die,diː,9
do,dɔ,20
doch,dɔχ,1
dr,dʁ,5
draan,dʁaːn,1
dren,dʁɛn,1
drinke,dʁɪnkə,1
drusse,dʁʊsə,1
e,ɛ,7
eets,eːt͡s,1
eetste,eːt͡stə,1
ehr,ɛhʁ,1
eïfel,ɛɪfɛl,2
eïjene,ɛɪjɛnə,1
eïmol,ɛɪmɔl,1
eïner,ɛɪnɐ,2
elsaßstroß,ɛlsasstʁɔs,2
em,ɛm,2
en,ɛn,14
ene,ɛnə,1
ens,ɛns,5
entweder,ɛntvɛdɐ,1
er,ɐ,1
eren,ɛʁɛn,1
esun,ɛsʊn,1
et,ɛt,8
ferije,fɛʁɪjə,1
fließend,fliːsɛnt,1
fottkippe,fɔttkɪppə,1
funkts,fʊnkt͡s,1
funktsjoniere,fʊnkt͡sjɔniːʁə,1
füürche,fyːʁçə,1
hamer,hamɐ,6
han,han,8
hät,hɛt,5
hatte,hattə,1
hatten,hattɛn,4
hee,heː,1
heimleiter,haɪmlaɪtɐ,1
heïß,hɛɪs,1
heïße,hɛɪsə,1
her,hɐ,1
hin,hɪn,1
hinjefahren,hɪnjɛfahʁɛn,2
hinjejange,hɪnjɛjaŋə,1
hinjemaht,hɪnjɛmaht,1
hoffe,hɔffə,1
huus,huːs,4
ich,ɪç,2
ies,iːs,1
ihr,ɪhʁ,1
immer,ɪmmɐ,1
ja,ja,2
janz,jant͡s,2
jebastelt,jɛbastɛlt,1
jeblevve,jɛblɛvvə,1
jebraht,jɛbʁaht,2
jedurt,jɛdʊʁt,1
jekoch,jɛkɔχ,1
jekrääch,jɛkʁɛːç,1
jeläjen,jɛlɛjɛn,1
jemaht,jɛmaht,4
jespillt,jɛspɪllt,1
jet,jɛt,5
jewonnt,jɛvɔnnt,1
jo,jɔ,1
joniert,jɔniːʁt,1
jov,jɔf,1
jugendheim,jʊɡɛndhaɪm,2
jugendliche,jʊɡɛndlɪçə,2
kaffee,kaffeː,1
kalt,kalt,1
keï,kɛɪ,1
kind,kɪnt,1
kinder,kɪndɐ,2
kippe,kɪppə,1
klubraum,klʊbʁaʊm,1
koche,kɔχə,1
kölle,kœllə,1
krade,kʁadə,1
künne,kʏnnə,1
künnt,kʏnnt,2
lang,laŋ,1
litercher,lɪtɛʁçɐ,1
loufe,lɔʊfə,3
maache,maːχə,3
merowingerstroß,mɛʁɔvɪŋɛʁstʁɔs,1
met,mɛt,4
mihstens,mɪhstɛns,1
mir,mɪʁ,1
mr,mʁ,12
nä,nɛ,2
ne,nə,5
nem,nɛm,1
nit,nɪt,4
noch,nɔχ,1
och,ɔχ,4
odder,ɔddɐ,2
om,ɔm,1
opjetaut,ɔpjɛtaʊt,2
ot,ɔt,1
ovven,ɔvvɛn,1
paar,paːʁ,1
pott,pɔtt,1
pöttche,pœttçə,3
pump,pʊmp,2
reefen,ʁeːfɛn,1
ren,ʁɛn,1
renjepinkelt,ʁɛnjɛpɪnkɛlt,1
rusjepump,ʁʊsjɛpʊmp,1
saache,saːχə,1
säht,sɛht,1
schneï,ʃnɛɪ,3
schneïwasser,ʃnɛɪvasɐ,1
schon,ʃɔn,2
schön,ʃœn,1
schun,ʃʊn,1
schwengel,ʃvɛŋɛl,1
schwer,ʃvɐ,1
se,sə,1
simer,sɪmɐ,3
sin,sɪn,2
so,sɔ,2
später,spɛtɐ,1
städtisch,stɛdtɪʃ,1
stöckche,stœkçə,1
ston,stɔn,1
stroß,stʁɔs,1
su,sʊ,3
tee,teː,4
tischtennis,tɪʃtɛnnɪs,1
tjo,tjɔ,2
tour,tɔʊʁ,1
un,ʊn,18
uns,ʊns,3
unser,ʊnsɐ,1
üür,yːʁ,1
üüre,yːʁə,1
üvverlaht,ʏvvɛʁlaht,1
verrode,vɛʁʁɔdə,1
vun,vʊn,1
vürm,vʏʁm,1
wald,valt,1
wasser,vasɐ,3
wat,vat,2
weed,veːt,1
widder,vɪddɐ,6
wie,viː,5
will,vɪll,1
winter,vɪntɐ,1
wochenendtoure,vɔχɛnɛndtɔʊʁə,1
wohl,vɔhl,1
wollte,vɔlltə,2
wor,vɔʁ,8
wore,vɔʁə,2
woren,vɔʁɛn,1
wosste,vɔstə,1
zo,t͡sɔ,1
zojefrore,t͡sɔjɛfʁɔʁə,1
zosammejekrats,t͡sɔsammɛjɛkʁat͡s,1
zosammen,t͡sɔsammɛn,1
zwar,t͡svaʁ,2
zwei,t͡svaɪ,4
zwesche,t͡svɛʃə,1
